OTU_Id	g411	g412	g413	g414	g415	g421	g422	g423	g424	g425	g431	g432	g433	g434	g435	g441	g442	g443	g444	g445	g451	g452	g453	g454	g455	g406	g407	g408	g409	g410	g416	g417	g418	g419	g420	g426	g427	g428	g429	g430	g436	g437	g438	g439	g440	g446	g447	g448	g449	g450
OTU2441	0	2173	0	154	0	0	0	0	0	0	0	2360	0	1258	0	0	0	0	0	0	0	0	0	0	0	1046	466	4219	3181	25056	0	0	0	4646	0	0	618	0	0	0	0	157	0	0	0	0	0	0	0	0
OTU2442	310	621	154	614	157	310	208	787	158	773	929	472	0	0	0	52	103	52	3063	0	156	155	0	104	0	1831	776	1094	682	2815	746	472	154	619	193	464	618	617	617	7467	156	157	155	307	155	462	311	774	933	474
OTU2443	1707	4191	4912	7982	10022	2323	1299	944	790	3863	1549	315	462	3618	3077	0	0	52	0	259	6222	2013	155	156	1779	21712	2328	1719	7726	21959	30574	11169	3224	2013	22792	4790	6026	617	2930	1244	3578	3618	3872	0	465	8615	4044	7279	9333	13431
OTU2444	621	2173	1382	1075	157	465	0	472	158	309	0	472	0	0	0	0	0	0	0	0	933	310	0	0	254	5232	10089	7031	8408	7601	5966	1258	1382	1858	1159	0	0	154	308	0	0	0	0	0	0	154	0	1858	0	0
OTU2445	11951	12262	13509	38991	17383	7588	4053	2045	3002	6954	12235	8966	3692	10225	20308	1919	1293	1357	156	2022	51022	17035	1392	2915	20327	25112	9623	4375	32269	58840	25354	9753	6908	9292	24145	29205	22252	23744	33304	20067	10889	22180	7124	5680	3252	23077	38578	30973	30178	27810
OTU2446	466	155	0	154	0	0	0	0	0	309	310	157	0	315	0	0	0	0	0	0	0	0	0	0	0	785	931	1250	1818	1408	0	0	0	310	193	0	0	0	0	0	0	0	0	0	0	0	0	0	933	0
OTU2447	15987	39113	22105	28706	52461	5420	780	5663	6795	16998	774	0	154	0	308	259	155	418	260	622	0	155	0	0	762	8894	14124	21875	42949	1126	11186	3618	2303	7124	11010	0	0	308	0	622	156	0	0	307	155	0	0	0	156	474
OTU2448	155	155	154	307	157	155	52	0	0	309	0	157	0	0	154	0	0	0	0	0	311	0	0	833	0	262	931	469	909	282	1119	0	0	0	0	0	155	308	0	156	0	157	0	0	0	308	311	310	156	0
OTU2449	0	155	768	2149	157	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1308	3570	2031	8635	6475	2796	0	0	0	1159	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0
OTU245	310	931	0	921	783	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	785	1086	1094	227	5912	559	0	0	0	966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2450	621	621	307	921	1409	2323	9198	5034	0	0	310	315	154	2360	2000	0	466	365	0	104	622	1549	52	416	1143	3139	931	937	227	20270	11559	10067	2303	465	3091	1082	309	2004	3084	2178	156	787	2788	154	155	1846	12756	2633	5133	6637
OTU2451	0	0	154	154	0	155	0	157	0	0	465	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	466	156	0	282	186	0	154	0	0	0	0	0	0	0	0	0	0	0	0	462	311	0	778	0
OTU2452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	937	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2453	11486	9623	18114	32237	17539	33296	10497	27528	10745	25497	15022	9438	3385	9124	14923	5393	1966	783	52	3163	10267	5885	1238	2602	4701	16480	7916	2812	13635	43074	138330	85101	46513	51261	91170	54393	25651	31762	23436	16489	3733	12742	16106	6447	4956	24462	32200	11615	29711	25914
OTU2454	0	466	0	154	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1086	156	0	0	0	315	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158
OTU2455	0	0	0	1075	940	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523	466	0	3636	5631	2796	157	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2456	0	155	0	0	0	0	0	0	0	0	310	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	1397	312	227	0	0	0	0	0	193	0	155	154	0	0	0	0	0	0	0	0	0	0	0	0
OTU2457	4967	9468	4605	12434	8456	28341	4937	26112	1738	5254	4181	5978	2308	8494	11231	881	1966	209	156	881	17578	8053	1650	4320	5209	24851	12882	8594	22043	39133	17338	15730	22412	5885	12942	3863	3400	4009	7555	3422	5600	6449	3407	1535	1858	18923	10111	14712	7933	8849
OTU2458	155	4035	0	307	1409	0	0	0	0	0	465	157	0	157	1231	0	0	0	0	0	0	0	0	0	0	785	16763	1562	4318	6475	186	0	0	0	0	0	155	308	0	467	0	157	0	0	0	0	0	0	0	474
OTU2459	155	0	154	2149	1566	1549	104	1888	948	2472	2013	787	462	787	1846	207	103	0	0	0	2022	2013	155	416	1016	1308	1086	469	3636	6475	4288	3303	461	1239	193	927	1545	3855	2313	2800	1711	315	155	461	1704	154	1400	465	622	2054
OTU246	3259	23126	6294	10285	10962	7279	6756	4719	7269	4327	34845	9596	12615	19034	8462	519	2639	835	208	4200	1244	1394	464	885	381	41592	200222	133281	94306	92624	76809	33820	15351	30199	16418	36932	39404	284626	6938	35933	8711	5506	2942	614	619	2462	1244	2168	5444	5530
OTU2460	155	1707	614	1075	783	465	416	1258	0	309	155	472	0	629	0	0	259	0	0	622	0	0	0	0	0	2877	3880	2031	3636	0	746	629	154	929	1352	464	0	0	0	156	0	472	0	0	0	0	0	0	0	0
OTU2461	310	621	768	921	2349	2323	4313	9281	4424	3709	155	0	0	0	615	0	0	0	0	0	0	0	0	0	0	7848	1552	1562	16589	1408	1305	8966	10439	10841	16225	309	309	1233	0	0	0	0	0	0	0	0	0	0	0	474
OTU2462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	1552	937	227	1408	0	0	0	0	0	0	0	617	0	0	0	0	0	0	0	0	0	0	0	0
OTU2463	776	0	154	1535	1096	619	0	0	0	927	0	315	0	157	0	0	103	0	0	0	311	465	52	0	0	1046	155	625	1591	4223	2796	157	0	0	1545	0	618	925	308	311	0	0	0	307	0	769	0	465	0	790
OTU2464	310	155	154	1382	626	0	52	157	0	0	155	157	0	0	0	0	103	0	0	0	156	0	103	0	254	4447	310	625	1818	3378	1305	0	1075	310	1159	1082	773	308	617	0	0	0	0	0	0	615	622	1084	0	1264
OTU2465	0	1397	307	768	2506	2323	883	787	790	1391	4491	4090	3231	7551	12615	674	724	418	52	1141	7778	5420	155	2186	2287	8109	4501	2656	8408	17173	4101	3303	3224	2478	16611	2627	4636	32996	7555	5133	4356	5034	3717	154	155	2154	8244	4027	6222	5214
OTU2466	310	3259	154	1382	1096	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	260	0	13864	3880	2812	3863	4786	1305	0	0	0	966	309	309	617	0	311	0	0	0	0	0	0	0	0	933	0
OTU2467	0	3415	154	1075	783	465	0	0	0	0	1084	787	769	2360	2769	674	0	365	0	363	2333	1084	155	156	2287	785	7605	2187	1818	0	186	0	0	155	0	1236	155	2004	1079	1089	467	157	929	461	0	2154	4044	1549	2489	2054
OTU2468	1086	3880	1382	921	1566	0	0	0	0	0	155	157	0	787	462	52	259	0	0	259	156	0	0	104	0	1308	2328	4688	12726	7320	1305	472	154	155	579	773	1082	925	1696	311	467	1416	310	0	0	1077	0	3562	778	2212
OTU2469	466	2794	154	307	1566	5885	104	3146	2370	2009	929	944	615	629	1385	52	103	0	0	259	1244	1394	0	260	762	3139	2018	1875	5681	4786	4661	787	1689	1858	2897	155	927	2004	925	311	0	472	1394	614	619	615	1244	2942	2644	474
