"OUT_Id"	"g411"	"g412"	"g413"	"g414"	"g415"	"g421"	"g422"	"g423"	"g424"	"g425"	"g431"	"g432"	"g433"	"g434"	"g435"	"g441"	"g442"	"g443"	"g444"	"g445"	"g451"	"g452"	"g453"	"g454"	"g455"	"superkingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"24"	"OTU36"	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	156	155	0	104	1016	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales_Incertae_Sedis_IV"	"Caldicoprobacter"	"uncultured_bacterium"
"25"	"OTU39"	0	0	0	0	0	0	0	0	0	155	0	0	0	0	462	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae_1"	NA	"uncultured_compost_bacterium"
"26"	"OTU40"	0	0	0	0	0	10841	3742	472	790	309	0	0	0	0	308	0	0	0	0	0	156	1549	155	0	127	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae_2"	"Planifilum"	"Unassigned"
"27"	"OTU41"	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Deinococcus-Thermus"	"Deinococci"	"Deinococcales"	"Trueperaceae"	"Truepera"	"uncultured_bacterium"
"28"	"OTU42"	0	0	0	0	0	619	104	472	2212	4481	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardiopsaceae"	"Thermobifida"	"Unassigned"
"29"	"OTU43"	45787	211397	78904	112368	162550	49867	10861	32562	51038	70773	10221	7393	8308	8494	15538	519	2742	2557	571	1659	5444	1858	1392	2967	2160	"Bacteria"	"Actinobacteria"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"30"	"OTU44"	2183193	3745854	1666798	2724627	3065280	1215398	179651	1560292	1389729	1624680	840619	680652	365692	285820	697385	34015	124169	34444	4931	120244	721622	390111	18769	76614	702414	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp4"	NA	NA	"Gp4"	"uncultured_cyanobacterium"
"31"	"OTU45"	1086	6208	768	3838	3132	1084	260	2360	316	2781	13009	6135	4154	2989	11385	0	517	418	156	104	156	155	103	0	127	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Rubellimicrobium"	"Unassigned"
"32"	"OTU46"	3415	13193	70154	18882	19418	10531	520	95169	85643	92252	8982	4719	5385	315	8615	259	103	52	0	21000	933	1549	0	104	1016	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp4"	NA	NA	"Gp4"	"uncultured_cyanobacterium"
"33"	"OTU47"	140000	319734	64627	229803	245235	385155	189421	326562	77743	425872	265133	664449	33077	187348	328308	14985	24058	15396	1557	27793	130200	90288	19439	42263	40526	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Unassigned"	"Unassigned"
"34"	"OTU48"	1086	12727	2303	921	5011	0	0	0	0	155	2013	315	615	157	462	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Pirellula"	"uncultured_Firmicutes_bacterium"
"35"	"OTU49"	155	2018	614	2610	940	2168	0	787	316	309	465	0	308	315	923	0	0	0	0	0	467	310	0	0	127	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Unassigned"	"Unassigned"
"36"	"OTU50"	23437	86763	12895	75219	93803	24469	8834	26584	28126	45740	9137	6921	3385	3775	13385	0	828	209	0	2541	2800	5420	258	1509	2287	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhodobiaceae"	"Rhodoligotrophos"	"uncultured_bacterium"
"37"	"OTU51"	433348	610754	597303	1390482	787069	732677	149614	557169	277630	555055	597942	425348	123846	520989	601077	72904	173267	69567	34936	174689	1353644	681261	68064	113203	667731	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp6"	NA	NA	"Gp6"	"Unassigned"
"38"	"OTU52"	117494	325632	87500	307632	331834	163385	45679	140157	133837	246313	192810	174135	104154	81798	233846	21415	62395	49944	35870	150889	215289	170973	16500	52204	181162	"Bacteria"	"Actinobacteria"	"Actinobacteria"	NA	NA	NA	"uncultured_bacterium_#0319-7F3"
"39"	"OTU53"	41907	110820	34079	181294	91767	113982	26244	76607	27020	109558	166327	104607	26000	112315	152154	18511	51944	8611	1661	14674	117911	73097	10364	21808	44719	"Bacteria"	"Chloroflexi"	NA	NA	NA	NA	"uncultured_Firmicutes_bacterium"
"40"	"OTU54"	113149	543082	232719	383465	373803	83164	19592	89663	95124	128720	28650	24067	21077	6135	21385	2178	9054	7045	2180	12600	5600	7434	516	3071	5463	"Bacteria"	"Actinobacteria"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"41"	"OTU55"	72949	58514	15044	94254	77204	271018	58671	136382	48668	117903	258938	124742	38769	97685	151385	3422	14642	3392	52	5600	31111	18894	1444	3695	13212	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"Unassigned"	"Unassigned"
"42"	"OTU56"	1344590	2479490	1264298	3977412	2090134	2156991	425924	1817955	1002754	1321347	1884889	1117169	469077	1339596	1599538	87785	365262	80892	7890	201030	2565111	989912	106272	223179	1023702	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp4"	NA	NA	"Gp4"	"uncultured_Rhodopseudomonas_sp."
"43"	"OTU57"	390665	498381	267105	299956	381633	39646	5561	16989	242867	519978	38872	11955	27231	15101	24154	415	1190	1148	779	9852	26289	10996	825	989	1652	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp4"	NA	NA	"Gp4"	"Unassigned"
"44"	"OTU58"	1863	5122	3991	5987	3758	310	0	472	0	2472	6350	2831	615	2831	3846	0	362	0	0	0	622	1084	0	104	0	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Saprospiraceae"	"Unassigned"	"Unassigned"
"45"	"OTU59"	247871	605477	88575	595614	557494	255376	74989	425820	203679	395430	135973	77708	60923	57101	170308	18096	28766	10177	9396	55481	143422	82699	6549	21444	77368	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micromonosporaceae"	"Micromonospora"	"Unassigned"
"46"	"OTU60"	31818	29800	33004	52654	33356	32367	6184	27213	28442	34768	24934	19820	7538	14000	20769	9126	3570	1618	1038	3422	21622	17655	1238	6714	41034	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	NA	"Unassigned"
"47"	"OTU61"	69069	323459	192346	322522	269508	236947	53215	200404	148217	249868	110575	73146	82615	78337	92154	21311	55358	24424	7164	44748	48222	40730	10777	22016	39764	"Bacteria"	"Actinobacteria"	"Actinobacteria"	NA	NA	NA	"Unassigned"
"48"	"OTU62"	8381	80710	47588	9978	58255	465	104	157	3160	1236	0	0	0	157	308	0	0	1044	260	0	0	0	0	625	0	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Unassigned"	"Unassigned"	"Unassigned"
